id;number_id;assign_user;assign_time;assigned_user
1;hack;implementation XML Liaison;2019-06-17T23:36:01;Port application
2;plum Cotton withdrawal;Costa Rican Colon;2019-06-18T08:21:45;Savings Account
3;Bacon evolve;Utah Mission;2019-06-17T17:01:26;Ergonomic Rubber Bike Oklahoma Arizona
4;Buckinghamshire Auto Loan Account;3rd generation copying;2019-06-17T20:28:54;Rustic Handcrafted Plastic Fish
5;Developer indigo connecting;portals Wooden;2019-06-18T00:33:47;communities Fantastic green
6;1080p parse;Paradigm deposit systems;2019-06-17T17:10:18;digital Metal
7;Assistant navigate;West Virginia Hawaii Towels;2019-06-17T23:44:46;strategic Clothing Toys
8;Indiana Denar Paradigm;Brand systematic eyeballs;2019-06-17T11:29:40;indexing turquoise
9;vortals Applications panel;Small circuit;2019-06-17T20:31:29;users driver bypass
10;Polarised;Cotton;2019-06-17T14:24:25;withdrawal Solutions Gorgeous Steel Car
