id;operate_user_id;operate_date;operate_type
1;Bahamas;2019-06-18T06:10:48;ubiquitous interactive
2;Buckinghamshire Fantastic;2019-06-17T16:40:38;navigating evolve
3;web services teal sky blue;2019-06-18T06:10:58;impactful
4;Indiana withdrawal bluetooth;2019-06-17T22:56:11;Human
5;Cape Verde Ridge;2019-06-17T19:03:08;Gloves Auto Loan Account customized
6;client-driven Analyst Rubber;2019-06-18T03:35:29;Pants
7;alarm hacking help-desk;2019-06-17T13:16:25;Executive SCSI
8;1080p;2019-06-17T20:18:53;Strategist
9;Cambridgeshire Metal;2019-06-17T15:02:07;challenge Agent
10;systems Keyboard Clothing;2019-06-17T19:00:20;Antarctica (the territory South of 60 deg S)
