id;case_year;insurance_type;case_count;update_time
1;backing up bandwidth;web-readiness Buckinghamshire monetize;53093;2019-06-17T10:41:40
2;24/7 sensor;Associate Iceland Syrian Pound;31186;2019-06-17T21:31:19
3;reciprocal sky blue Frozen;Rubber Movies navigate;80715;2019-06-17T23:36:52
4;Ball;Garden encompassing;77314;2019-06-17T14:42:12
5;Future-proofed withdrawal;Toys monitoring;64645;2019-06-17T19:16:44
6;IB Armenian Dram Tonga;multi-byte virtual Falls;39800;2019-06-18T04:47:02
7;Senior;Upgradable Phased Berkshire;74744;2019-06-18T07:00:24
8;Azerbaijanian Manat West Virginia;Integration haptic Technician;54448;2019-06-17T16:58:11
9;Arkansas navigate teal;orchid Fresh Auto Loan Account;78132;2019-06-18T00:52:35
10;bifurcated Assistant;invoice orchestrate;67413;2019-06-17T17:00:44
